time,open,high,low,close
2024-02-09T19:30:00+05:30,1.26202,1.26431,1.26157,1.26298
2024-02-09T23:30:00+05:30,1.26298,1.26373,1.26192,1.26258
2024-02-12T03:30:00+05:30,1.26173,1.26438,1.26173,1.26362
2024-02-12T07:30:00+05:30,1.26362,1.26379,1.26263,1.26292
2024-02-12T11:30:00+05:30,1.26292,1.26544,1.26178,1.26211
2024-02-12T15:30:00+05:30,1.26211,1.26255,1.2606,1.26092
2024-02-12T19:30:00+05:30,1.26092,1.26397,1.26092,1.26394
2024-02-12T23:30:00+05:30,1.26394,1.26403,1.26211,1.2628
2024-02-13T03:30:00+05:30,1.2628,1.26287,1.26183,1.26206
2024-02-13T07:30:00+05:30,1.26206,1.26206,1.2609,1.26148
2024-02-13T11:30:00+05:30,1.26148,1.26559,1.26145,1.26543
2024-02-13T15:30:00+05:30,1.26543,1.26836,1.25873,1.25928
2024-02-13T19:30:00+05:30,1.25928,1.26081,1.2575399999999999,1.25998
2024-02-13T23:30:00+05:30,1.25998,1.26031,1.2573,1.25918
2024-02-14T03:30:00+05:30,1.25918,1.25993,1.25837,1.25967
2024-02-14T07:30:00+05:30,1.25967,1.2605,1.25924,1.26025
2024-02-14T11:30:00+05:30,1.26025,1.2610999999999999,1.25355,1.2538799999999999
2024-02-14T15:30:00+05:30,1.2538799999999999,1.2568,1.25351,1.25572
2024-02-14T19:30:00+05:30,1.25572,1.25654,1.25395,1.25642
2024-02-14T23:30:00+05:30,1.25642,1.25706,1.25567,1.25653
2024-02-15T03:30:00+05:30,1.25653,1.25733,1.25557,1.25622
2024-02-15T07:30:00+05:30,1.25622,1.25694,1.25584,1.2564899999999999
2024-02-15T11:30:00+05:30,1.2564899999999999,1.25734,1.25417,1.2554
2024-02-15T15:30:00+05:30,1.2554,1.25759,1.25409,1.25696
2024-02-15T19:30:00+05:30,1.25696,1.25964,1.25609,1.25863
2024-02-15T23:30:00+05:30,1.25863,1.26014,1.25843,1.25992
2024-02-16T03:30:00+05:30,1.25992,1.2605,1.25797,1.25879
2024-02-16T07:30:00+05:30,1.25879,1.25884,1.25767,1.25821
2024-02-16T11:30:00+05:30,1.25821,1.26059,1.25744,1.25856
2024-02-16T15:30:00+05:30,1.25856,1.2601,1.25485,1.25668
2024-02-16T19:30:00+05:30,1.25668,1.26084,1.25532,1.2607599999999999
2024-02-16T23:30:00+05:30,1.2607599999999999,1.26241,1.25972,1.2598799999999999
2024-02-19T03:30:00+05:30,1.25934,1.26271,1.25895,1.2614
2024-02-19T07:30:00+05:30,1.2614,1.26212,1.26105,1.26189
2024-02-19T11:30:00+05:30,1.26189,1.26295,1.26071,1.26147
2024-02-19T15:30:00+05:30,1.26147,1.26218,1.25973,1.25993
2024-02-19T19:30:00+05:30,1.25993,1.26002,1.25831,1.25911
2024-02-19T23:30:00+05:30,1.25911,1.26011,1.25861,1.25924
2024-02-20T03:30:00+05:30,1.25924,1.25961,1.2581,1.25843
2024-02-20T07:30:00+05:30,1.25843,1.25889,1.2579,1.2582
2024-02-20T11:30:00+05:30,1.2582,1.26067,1.25805,1.26031
2024-02-20T15:30:00+05:30,1.26031,1.26458,1.25871,1.2643
2024-02-20T19:30:00+05:30,1.2643,1.26684,1.2629299999999999,1.26349
2024-02-20T23:30:00+05:30,1.26349,1.2635,1.26165,1.2622
2024-02-21T03:30:00+05:30,1.2622,1.2628,1.26174,1.26275
2024-02-21T07:30:00+05:30,1.26275,1.26373,1.26275,1.26335
2024-02-21T11:30:00+05:30,1.26335,1.26349,1.26024,1.26119
2024-02-21T15:30:00+05:30,1.26119,1.26306,1.2608,1.26238
2024-02-21T19:30:00+05:30,1.26238,1.26345,1.26052,1.26158
2024-02-21T23:30:00+05:30,1.26158,1.26417,1.26056,1.26373
2024-02-22T03:30:00+05:30,1.26373,1.2647,1.26266,1.26396
2024-02-22T07:30:00+05:30,1.26396,1.26484,1.26311,1.26447
2024-02-22T11:30:00+05:30,1.26447,1.27093,1.26445,1.26752
2024-02-22T15:30:00+05:30,1.26752,1.26897,1.26264,1.26282
2024-02-22T19:30:00+05:30,1.26282,1.26597,1.26114,1.26562
2024-02-22T23:30:00+05:30,1.26562,1.26645,1.26443,1.26599
2024-02-23T03:30:00+05:30,1.26599,1.26664,1.26481,1.26624
2024-02-23T07:30:00+05:30,1.26624,1.2666,1.26574,1.26617
2024-02-23T11:30:00+05:30,1.26617,1.26767,1.26486,1.26561
2024-02-23T15:30:00+05:30,1.26561,1.27012,1.2656,1.26934
2024-02-23T19:30:00+05:30,1.26934,1.27,1.26652,1.2678
2024-02-23T23:30:00+05:30,1.2678,1.26861,1.26618,1.26618
2024-02-26T03:30:00+05:30,1.26729,1.26761,1.26605,1.26616
2024-02-26T07:30:00+05:30,1.26616,1.26701,1.26566,1.26666
2024-02-26T11:30:00+05:30,1.26666,1.26812,1.26627,1.26792
2024-02-26T15:30:00+05:30,1.26792,1.26993,1.26731,1.26969
2024-02-26T19:30:00+05:30,1.26969,1.26984,1.26717,1.26762
2024-02-26T23:30:00+05:30,1.26762,1.26881,1.26706,1.26847
2024-02-27T03:30:00+05:30,1.26847,1.26863,1.26727,1.26787
2024-02-27T07:30:00+05:30,1.26787,1.26871,1.2674,1.268
2024-02-27T11:30:00+05:30,1.268,1.26968,1.2678,1.26893
2024-02-27T15:30:00+05:30,1.26893,1.26947,1.2671,1.26819
2024-02-27T19:30:00+05:30,1.26819,1.26951,1.26601,1.26853
2024-02-27T23:30:00+05:30,1.26853,1.26941,1.26778,1.26846
2024-02-28T03:30:00+05:30,1.26846,1.26861,1.26723,1.26761
2024-02-28T07:30:00+05:30,1.26761,1.26778,1.2657,1.26591
